ModemType,HasRouter,RouterType,RouterSoftware,Subscription,Ping,TestDownload,TestUpload,ConnectionType,NetworkCard,ExternalNIC,Processor,Activities,Advice
Connectbox (Compal CH7465LG),Ja,Netgear wnr3500,Unknown,200 Mbit/s down - 20 Mbit/s up,11,94,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-6700,Gamen,Overbelasting voor het netwerk
Connectbox (Arris TG2492LG),Ja,Asus RT-AC88U met een Asus RT-AC68U (aiMeshnetwerk),Router 3.0.0.4.384_20379 - Node 3.0.0.4.384_20648,400 Mbit/s down - 40 Mbit/s up,12,267,35,"Wifi via 5,0 GHz frequentieband",Intel Wireless AC7260,Nee,Intel Core i7-3610qm,(video)streamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,Sitecom,Unknown,200 Mbit/s down - 20 Mbit/s up,35,201,20,Netwerkkabel,Intel l217-V,Nee,Intel Core i7,(video)streamen,Overbelasting voor het netwerk
Technicolor TC7200,Ja,D-link dir-845L,Unknown,200 Mbit/s down - 20 Mbit/s up,23,41,20,"Wifi via 5,0 GHz frequentieband",Intel AC3168,Nee,Intel Core i5-7200u,Surfen (websites bezoeken),Veranderen van netwerkmedium
Mediabox XL (7401),Ja,Arris,Unknown,200 Mbit/s down - 20 Mbit/s up,13,199,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i3-4130,Gamen,Geen verbetering
Technicolor TC7210,Ja,Netgear R7800,Netgear OS,400 Mbit/s down - 40 Mbit/s up,14,252.7,40.2,"Wifi via 5,0 GHz frequentieband",Intel AC8260,Nee,Intel Core i7-6500u,Downloaden,Veranderen van netwerkmedium
Technicolor TC7210,Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,11,402,41,Netwerkkabel,Realtek 8111HSH,Nee,Intel Core i5-7200u,(video)streamen,Geen verbetering
Connectbox (Arris TG2492LG),Ja,Sitecom AC2600 WiFi router,Unknown,200 Mbit/s down - 20 Mbit/s up,8,206.8,20.1,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-4790,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,Linux server,IPtables,250 Mbit/s down - 40 Mbit/s up,12,219,40.9,Netwerkkabel,Realtek 8153,Nee,Intel Core i7,(video)streamen,Overbelasting voor het netwerk
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,15,204,20.6,Netwerkkabel,Apple Broadcom,Nee,Intel Core i5,(video)streamen,Overbelasting voor het netwerk
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,14,206.3,20.5,"Wifi via 2,4 GHz frequentieband",Realtek PCIe GBE Family Controller,Nee,Intel Core i5-4570,Downloaden,Geen verbetering
Technicolor TC7210,Ja,Netgear R7000,Standaard,400 Mbit/s down - 40 Mbit/s up,8,207,41,"Wifi via 5,0 GHz frequentieband",Intel Wireless AC8260,Nee,Intel Core i5-6400,(video)streamen,Veranderen van netwerkmedium
Technicolor TC7200,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,8,191,20,Netwerkkabel,Intel 82579,Nee,Intel Core i5-2320,Surfen (websites bezoeken),Geen verbetering
Cisco EPC3925,Ja,NetGear wndr4300,Unknown,200 Mbit/s down - 20 Mbit/s up,16,40,20,Netwerkkabel,Intel AC8265,Nee,Intel Core i5-7200u,Downloaden,Overbelasting voor het netwerk
Technicolor TC7210,Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,10,188,40,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i7-2600,Gamen,Overbelasting voor het netwerk
Cisco EPC3928,Ja,TP Link Ziggo C7,Unknown,200 Mbit/s down - 20 Mbit/s up,10,45.8,17.8,"Wifi via 5,0 GHz frequentieband",Qualcomm Atheros AR956x,Nee,Intel Core i5-6200u,Downloaden,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,TP LINK Gigabit,Unknown,200 Mbit/s down - 20 Mbit/s up,9,203,20,Netwerkkabel,Broadcom 57766-A1,Nee,Intel Core i5,Gamen,Geen verbetering
Mediabox XL (7401),Ja,Via mediabox xl,00.28.04,200 Mbit/s down - 20 Mbit/s up,13,205,20,"Wifi via 5,0 GHz frequentieband",802.11n Wireless LAN Card,Nee,Intel Core i7,Gamen,Veranderen van netwerkmedium
Technicolor TC7210,Ja,Asus RT-AC68U,Nieuwste firmware van Asus,400 Mbit/s down - 40 Mbit/s up,12,345,40,Netwerkkabel,Apple BCM5701,Nee,Intel Core i7,Gamen,Overbelasting voor het netwerk
Technicolor TC7210,Ja,Tp-link tl-wr940n,Unknown,200 Mbit/s down - 20 Mbit/s up,8,208.3,18.4,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,AMD A10-7400P,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,Asus RT-AC87U,firmware384.4_2,400 Mbit/s down - 40 Mbit/s up,10,406,39,Netwerkkabel,Apple Broadcom,Nee,Intel Core i5,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,Linux ATX machine,OpenSuse Tumbleweed,250 Mbit/s down - 25 Mbit/s up,14,254,25.7,Netwerkkabel,Intel 822574L Gigabit (onboard),Nee,Intel Pentium,Downloaden,Veranderen van hardware
Connectbox (Compal CH7465LG),Ja,Archer_C2600,1.1.8 Build 20170306 Rel. 33259,400 Mbit/s down - 40 Mbit/s up,13,28.4,34.4,"Wifi via 2,4 GHz frequentieband",Realtek 8723BE,Nee,Intel Core i5-7200u,Gamen,Veranderen van netwerkmedium
Technicolor TC7200,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,12,95,18,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core E7400,Gamen,Veranderen van hardware
UBC1318ZG,Nee,Unknown,Unknown,500 Mbit/s down - 40 Mbit/s up,10,217,41,Netwerkkabel,Intel I219-LM,Nee,Intel Core i7-7700k,(video)streamen,Veranderen van modem
